tconst,originalTitle,weightedAverage,soup
tt0099487,Edward Scissorhands,7.8837181306171935,drama fantasy romance nm0000318 nm0000136 nm0000213 nm0001848 nm0001309 nm0000834
tt0099512,Ernest Goes to Jail,5.657330475959743,comedy crime family nm0156047 nm0001815 nm0765605 nm0126093
tt0099528,The Exorcist III,6.463194094499658,drama horror mystery nm0087861 nm0001715 nm0281130 nm0000374 nm0588553 nm0932116
tt0099558,Fei ying gai wak,7.015237576741721,action adventure comedy nm0000329 nm0000329 nm0155546 nm0167938
tt0099566,The Field,6.823044685182445,drama thriller nm0006487 nm0001321 nm0000457 nm0000293 nm0866626 nm0002084
tt0099575,Fire Birds,5.30564139223267,action adventure nm0337765 nm0000115 nm0000169 nm0000707 nm0450461 nm0224532
tt0099581,Flashback,6.189162179417199,action adventure comedy nm0002171 nm0000454 nm0000662 nm0001406 nm0233209 nm0002037
tt0099582,Flatliners,6.483587222204598,drama horror sci-fi nm0001708 nm0000662 nm0000102 nm0000210 nm0000287 nm0001624
tt0099587,Flight of the Intruder,5.947994201847279,action drama thriller nm0587518 nm0000418 nm0000353 nm0424635 nm0000275 nm0001744
tt0099611,Frankenhooker,6.193709504461083,comedy horror sci-fi nm0376963 nm0521033 nm0728582 nm0612038 nm0164024 nm0151918
tt0099615,The Freshman,6.4402400640510304,comedy crime nm0000921 nm0000008 nm0000111 nm0456124 nm0000542 nm0001844
tt0099652,Ghayal,6.943631997289819,action crime drama nm0764316 nm0219971 nm0700869 nm0792866 nm0154139 nm0451425
tt0099653,Ghost,7.080858490665668,drama fantasy romance nm0958387 nm0000664 nm0000193 nm0000155 nm0001282 nm0493026
tt0099654,Ghost Dad,5.0598851740238056,comedy family fantasy nm0001627 nm0001070 nm0751274 nm0629370 nm0000846 nm0002056
tt0099669,La gloire de mon père,7.009702572387896,adventure biography drama nm0002216 nm0146431 nm0746022 nm0656801 nm0513375 nm0161765
tt0099674,The Godfather Part III,7.5834260799994135,crime drama nm0000338 nm0000199 nm0000473 nm0000412 nm0001735 nm0908919
tt0099685,Goodfellas,8.690014249893117,biography crime drama nm0000217 nm0000134 nm0000501 nm0000582 nm0000966 nm0000649
tt0099691,Graffiti Bridge,5.720622045302879,drama music nm0002239 nm0002239 nm0206528 nm0154565 nm0072934 nm0087377
tt0099697,Graveyard Shift,5.261459468443289,horror nm0802326 nm0028625 nm0937824 nm0532685 nm0228678 nm0689269
tt0099699,Green Card,6.280015369071738,comedy drama romance nm0001837 nm0000367 nm0000510 nm0001564 nm0248981 nm0698764
tt0099700,Gremlins 2: The New Batch,6.3905308906041105,comedy fantasy horror nm0001102 nm0005062 nm0002090 nm0000121 nm0005177 nm0709704 nm0001278
tt0099703,The Grifters,6.798326564131132,crime drama thriller nm0001241 nm0001378 nm0000131 nm0000906 nm0613197 nm0917389
tt0099710,The Guardian,5.740587108639579,drama fantasy horror nm0001243 nm0780485 nm0113474 nm0000508 nm0355357 nm0001208
tt0099726,Hamlet,6.608589492147021,drama nm0001874 nm0000154 nm0000335 nm0000869 nm0006890 nm0000453
tt0099729,Hamoun,7.196487117301476,drama nm0576529 nm0787676 nm0258168 nm0765598 nm0267050 nm0595744
tt0099731,The Handmaid's Tale,6.0560872516005375,drama romance sci-fi nm0772522 nm0001670 nm0001159 nm0001644 nm0001527 nm0005481
tt0099739,Hard to Kill,5.850385890813249,action crime drama nm0540330 nm0000219 nm0001456 nm0006669 nm0168918 nm0123182
tt0099740,Hardware,5.964480945870629,sci-fi thriller nm0822582 nm0001518 nm0006826 nm0001487 nm0566710
tt0099747,Havana,6.128349790187715,drama romance war nm0001628 nm0000602 nm0000565 nm0000273 nm0587401 nm0204425
tt0099762,Henry & June,6.267884073578566,biography drama nm0442241 nm0911542 nm0000235 nm0210218 nm0001290 nm0000228
tt0099763,Henry: Portrait of a Serial Killer,6.90949885050033,biography crime drama nm0573796 nm0740264 nm0036657 nm0869981 nm0218186
tt0099776,Europa Europa,7.283621152872254,drama history war nm0002140 nm0673251 nm0389424 nm0389425 nm0932870 nm0911206
tt0099785,Home Alone,7.6884276586207445,comedy family nm0001060 nm0000346 nm0000582 nm0827663 nm0001334 nm0089348
tt0099797,The Hot Spot,6.339739568953506,crime drama romance nm0000454 nm0000467 nm0000515 nm0000124 nm0001747 nm0006669
tt0099800,House Party,6.425617659552244,comedy music romance nm0399737 nm0717212 nm0365264 nm0552086 nm0001454 nm0132896
tt0099810,The Hunt for Red October,7.469909656616469,action adventure thriller nm0001532 nm0000125 nm0000285 nm0001277 nm0000554 nm0000469
tt0099817,Dark Angel,6.120307988807525,action crime horror nm0062644 nm0000185 nm0000903 nm0105280 nm0400117 nm0082112
tt0099818,I Hired a Contract Killer,6.793983035447427,comedy crime drama nm0442454 nm0529543 nm0164891 nm0171829 nm0100928 nm0163256
tt0099819,I Love You to Death,6.345715810049026,comedy crime nm0001410 nm0000177 nm0001808 nm0000458 nm0687506 nm0000203
tt0099850,Internal Affairs,6.4415874480672235,crime drama thriller nm0001214 nm0000152 nm0000412 nm0001802 nm0582418 nm0103071
tt0099871,Jacob's Ladder,7.350265269851676,drama horror mystery nm0001490 nm0000209 nm0001615 nm0000732 nm0002023 nm0898546
tt0099878,Jetsons: The Movie,5.815996470786258,animation comedy family nm0053484 nm0360253 nm0847314 nm0641197 nm0802325 nm0000305 nm0862992 nm0956764
tt0099892,Joe Versus the Volcano,5.930863043810287,comedy romance nm0788234 nm0000158 nm0000212 nm0000978
tt0099902,Ju Dou,7.092539518875389,drama romance nm0955443 nm0271835 nm0000084 nm0508536 nm0508349
tt0099938,Kindergarten Cop,6.199305041877214,action comedy crime nm0718645 nm0000216 nm0000542 nm0715622 nm0001373 nm0879186
tt0099939,King of New York,6.823293690485663,crime thriller nm0001206 nm0000686 nm0000325 nm0000401 nm0034519 nm0000648
tt0099951,The Krays,6.449436208045844,biography crime drama nm0575389 nm0447290 nm0447337 nm0925794 nm0068552 nm0281453
tt0099994,Leatherface: Texas Chainsaw Massacre III,5.241280110429317,horror thriller nm0123009 nm0388082 nm0286010 nm0586133 nm0124834 nm0001557
tt0100024,Life Is Sweet,7.024907966683539,comedy drama nm0005139 nm0824102 nm0000980 nm0804218 nm0001363 nm0001653
tt0100029,Lionheart,6.197398836040425,action crime drama nm0504802 nm0000241 nm0656188 nm0719612 nm0670852 nm0424534
tt0100049,Longtime Companion,6.960877791891196,drama romance nm0720000 nm0128462 nm0144233 nm0184080 nm0001117 nm0001714
tt0100050,Look Who's Talking Too,4.837097283682267,comedy family romance nm0002132 nm0000237 nm0000263 nm0001156 nm0000480 nm0135245
tt0100053,Loose Cannons,5.525882362261837,action comedy crime nm0163706 nm0000432 nm0000101 nm0001123 nm0001074 nm0001802
tt0100054,Lord of the Flies,6.371105556028166,adventure drama thriller nm0393591 nm0001267 nm0299077 nm0684999 nm0197647 nm1378416
tt0100095,Maine Pyar Kiya,6.9894833156075,drama musical romance nm0054744 nm0006795 nm0080181 nm0622186 nm0894348 nm0481363
tt0100107,Maniac Cop 2,6.001316406379704,action crime horror nm0527350 nm0001108 nm0160004 nm0503627 nm0132257 nm0484929
tt0100112,Le mari de la coiffeuse,6.799555786327506,comedy drama romance nm0496312 nm0734000 nm0302105 nm0078109 nm0156737 nm0167515
tt0100114,Marked for Death,5.9471642362247605,action crime drama nm0514546 nm0000219 nm0001586 nm0908534 nm0202966 nm0942875
tt0100133,Memphis Belle,6.798280810370088,action drama war nm0001994 nm0000546 nm0000655 nm0004883 nm0000665 nm0000708
tt0100135,Men at Work,5.94350506990089,action comedy crime nm0000389 nm0000221 nm0000389 nm0394012 nm0202966 nm0131541
tt0100140,Mermaids,6.636053525567792,comedy drama romance nm0000907 nm0000333 nm0001364 nm0000213 nm0001706 nm0000207
tt0100142,Metropolitan,6.977557506900997,comedy drama romance nm0001775 nm0267449 nm0166221 nm0001177 nm0629737 nm0661708
tt0100143,Miami Blues,6.326416752073046,comedy crime drama nm0000786 nm0911542 nm0000285 nm0000492 nm0702409 nm0186460
tt0100150,Miller's Crossing,7.648261539070392,crime drama thriller nm0001054 nm0001053 nm0000321 nm0001215 nm0001806 nm0001315 nm0689237
tt0100157,Misery,7.766296301485774,drama thriller nm0001661 nm0001001 nm0000870 nm0002070 nm0827973 nm0000002
tt0100168,Mo' Better Blues,6.5598711622507615,drama music romance nm0000490 nm0000243 nm0000490 nm0000648 nm0002064 nm0365264
tt0100201,Mr. Destiny,6.338908754388252,comedy fantasy romance nm0650561 nm0000902 nm0000157 nm0000323 nm0001484 nm0000952
tt0100211,Music Box,6.8891275941995955,crime drama thriller nm0002020 nm0001448 nm0000090 nm0002078 nm0595567 nm0001305
tt0100212,My Blue Heaven,6.1957619903596965,comedy crime nm0006889 nm0000188 nm0001548 nm0000349 nm0563039 nm0410347
tt0100224,Narrow Margin,6.462395931134343,action crime thriller nm0001382 nm0000432 nm0000271 nm0797725 nm0000687 nm0001826
tt0100232,Navy Seals,5.647199226134804,action adventure thriller nm0853546 nm0000221 nm0000299 nm0000695 nm0001685 nm0642429
tt0100234,Nema-ye Nazdik,7.8394131099482625,biography crime drama nm0452102 nm0754969 nm0538532 nm0013842 nm0013844 nm0957831
tt0100240,The Neverending Story II: The Next Chapter,5.265357360016846,adventure drama family nm0004305 nm0000970 nm0607213 nm0123418 nm0794128 nm0880813
tt0100258,Night of the Living Dead,6.738322499311482,horror nm0767741 nm0865302 nm0848191 nm0869981 nm0027174 nm0124834
tt0100260,Nightbreed,6.4485822401548445,action fantasy horror nm0000850 nm0001729 nm0000343 nm0090321 nm0354024
tt0100263,Nikita,7.2310547377733805,action crime drama nm0000108 nm0001594 nm0244019 nm0284938 nm1016405
tt0100280,Nuns on the Run,6.063179388693211,comedy crime nm0528718 nm0001385 nm0001059 nm0168554 nm0840531 nm0362791
tt0100318,Pacific Heights,6.359820597053307,thriller nm0772259 nm0000429 nm0000546 nm0000474 nm0538683
tt0100332,Paris Is Burning,7.752915600703043,documentary nm0515255 nm2002784 nm0159980 nm0179776 nm0243484 nm0495568
tt0100339,Kidô keisatsu patorebâ: Gekijô-ban,6.6124069496948,action animation crime nm0651900 nm1356454 nm0299192 nm0419040 nm1063287
tt0100369,The Pit and the Pendulum,6.0844929902160185,horror romance nm0002340 nm0000448 nm0498280 nm0635920 nm0546797 nm0330069
tt0100395,Postcards from the Edge,6.592576328627493,comedy drama nm0001566 nm0000658 nm0000511 nm0000598 nm0000432 nm0000377
tt0100403,Predator 2,6.296716302841076,action horror sci-fi nm0394280 nm0000418 nm0000997 nm0001310 nm0001952 nm0000744
tt0100404,Presumed Innocent,6.828859794104971,mystery thriller nm0001587 nm0000148 nm0000471 nm0000627 nm0001133 nm0000889
tt0100405,Pretty Woman,7.087459319517749,comedy romance nm0005190 nm0000152 nm0000210 nm0004517 nm0000624 nm0000897
tt0100419,Problem Child,5.588881789857313,comedy family nm0240797 nm0646943 nm0000615 nm0912001 nm0331906 nm0001865
tt0100436,Pump Up the Volume,7.05858643006767,comedy drama music nm0610496 nm0000225 nm0000526 nm0006603 nm0738850 nm0857210
tt0100442,Q & A,6.423732029705902,crime drama thriller nm0001486 nm0000560 nm0000459 nm0000800 nm0641929 nm0724673
tt0100449,Quick Change,6.685502359026763,comedy crime nm0291442 nm0000195 nm0000195 nm0000133 nm0001642 nm0334746 nm0254387
tt0100469,The Reflecting Skin,6.517720251668998,drama horror thriller nm0726000 nm0001557 nm0242026 nm0178144 nm0601874 nm0292114
tt0100475,Repossessed,5.261352159028718,comedy fantasy horror nm0517514 nm0000558 nm0000304 nm0000885 nm0823289 nm0789169
tt0100477,The Rescuers Down Under,6.74041779866767,adventure animation comedy nm0125186 nm0300265 nm0627878 nm0001247 nm0001006 nm0737248 nm0753238
tt0100485,Revenge,6.195434139009063,action crime drama nm0001716 nm0000126 nm0000063 nm0000656 nm0587401 nm0555146
tt0100486,Reversal of Fortune,6.985367432052875,biography drama mystery nm0775447 nm0000460 nm0000335 nm0798779 nm0001711 nm0353467
tt0100502,RoboCop 2,5.819171739901549,action crime sci-fi nm0449984 nm0000693 nm0000262 nm0000873 nm0641397 nm0675066
tt0100507,Rocky V,5.42493962669759,drama sport nm0000814 nm0000230 nm0001735 nm0949350 nm0821739 nm0580565
tt0100514,The Rookie,5.940271730450598,action crime drama nm0000142 nm0000142 nm0000221 nm0000471 nm0000968 nm0000643
tt0100519,Rosencrantz & Guildenstern Are Dead,7.105417433317459,comedy drama nm0001779 nm0000198 nm0000619 nm0000377 nm0046256 nm0546530
tt0100530,The Russia House,6.116998812251516,drama romance thriller nm0770961 nm0000125 nm0000201 nm0001702 nm0289038 nm0001498
tt0100594,The Sheltering Sky,6.560349800539493,adventure drama nm0000934 nm0000700 nm0000518 nm0001714 nm0071824 nm0001758
tt0100602,A Shock to the System,6.405098914614039,comedy crime thriller nm0251057 nm0000323 nm0001527 nm0726200 nm0001436 nm0001599
tt0100680,Stanley & Iris,6.254421924215276,drama romance nm0728688 nm0000404 nm0000134 nm0001436 nm0000588 nm0189172
tt0100685,State of Grace,7.028324191810109,action crime drama nm0423333 nm0000576 nm0000438 nm0000198 nm0000705 nm0001806
tt0100740,Tales from the Darkside: The Movie,6.195214567014422,comedy fantasy horror nm0365666 nm0001323 nm0492932 nm0000225 nm0286719 nm0781305
tt0100758,Teenage Mutant Ninja Turtles,6.771641515661444,action adventure comedy nm0006625 nm0387432 nm0000480 nm0656929 nm0286335
tt0100802,Total Recall,7.481613537927407,action adventure sci-fi nm0000682 nm0000216 nm0000232 nm0000461 nm0001797 nm0001074
tt0100814,Tremors,7.167138342556349,comedy horror nm0881038 nm0000102 nm0911542 nm0141617 nm0343447 nm0005207
tt0100827,Due occhi diabolici,6.129151715664853,horror nm0000783 nm0001681 nm0000105 nm0000172 nm0951719 nm0641703 nm0397989
tt0100828,The Two Jakes,6.118695709192844,crime drama mystery nm0000197 nm0000197 nm0000172 nm0000672 nm0000656 nm0908919
tt0100842,The Unbelievable Truth,6.746960705924249,comedy drama romance nm0001325 nm0791248 nm0121559 nm0177394 nm0573819 nm0562642
tt0100911,"Welcome Home, Roxy Carmichael",5.972139129211998,comedy drama nm0000720 nm0000213 nm0001099 nm0732309 nm0114787 nm0573494
tt0100912,Werner - Beinhart!,6.467079776812219,action animation comedy nm0353902 nm0514226 nm0769405 nm0127255 nm0271136 nm0923044 nm0271143
tt0100928,White Hunter Black Heart,6.411315717412281,adventure drama nm0000142 nm0000142 nm0001194 nm0180489 nm0525972 nm0001169
tt0100934,Wild Orchid,4.967404895891418,drama romance nm0455394 nm0000620 nm0000302 nm0652895 nm0785264 nm0339304
tt0100935,Wild at Heart,7.151750883698664,crime drama thriller nm0000186 nm0000115 nm0000368 nm0000353 nm0293422 nm0000417
tt0100944,The Witches,6.747789965703563,adventure comedy family nm0001676 nm0001378 nm0955195 nm0279557 nm0000100
tt0100994,Young Guns II,6.463311869387901,action drama western nm0614276 nm0000389 nm0000662 nm0001617 nm0000225 nm0676973
tt0100998,Yume,7.477356744013694,drama fantasy nm0000041 nm0393094 nm0855417 nm0047963 nm0624383 nm7014801 nm0410659
tt0101020,Chung hang sei hoi,6.487179683831514,action comedy crime nm0000247 nm0002000 nm0000334 nm0161193 nm0160846 nm0874684
tt0101026,Átame!,6.888643535292915,comedy crime drama nm0000264 nm0000721 nm0000104 nm0508249 nm0785565 nm0056686
tt0101258,Ah fei jing juen,7.19957974418259,crime drama romance nm0939182 nm0002000 nm0001041 nm0490489 nm0490500 nm0659029
tt0101272,The Addams Family,6.880463027235255,comedy fantasy nm0001756 nm0001378 nm0000471 nm0000502 nm0000445 nm0933361
tt0101301,All I Want for Christmas,6.030568590156533,comedy family romance nm0509409 nm0468772 nm0792177 nm0256121 nm0005265 nm0000301
tt0101316,L'amant,6.690706067215194,biography drama romance nm0000269 nm0001506 nm0504899 nm0603402 nm0576928 nm0320481
tt0101318,Les amants du Pont-Neuf,7.252100812119108,drama romance nm0136021 nm0000300 nm0491777 nm0345046 nm0821637 nm0489163
tt0101326,American Ninja 4: The Annihilation,4.998463206861765,action crime drama nm0839233 nm0001154 nm0103196 nm0095718 nm0018855 nm0304027
tt0101329,An American Tail: Fievel Goes West,6.451509469771393,adventure animation family nm0629216 nm0920425 nm0000071 nm0000092 nm0001388 nm0322064 nm0948361
tt0101393,Backdraft,6.67184031825646,action drama mystery nm0000165 nm0000621 nm0000287 nm0000134 nm0000661 nm0000492
tt0101410,Barton Fink,7.546899966518496,comedy drama thriller nm0001054 nm0001053 nm0001806 nm0000422 nm0001114 nm0503627 nm0001498
tt0101414,Beauty and the Beast,7.981199577272576,animation family fantasy nm0873779 nm0936374 nm0641314 nm0000913 nm0181425 nm0263591 nm0001450
tt0101420,Begotten,5.771936446792395,fantasy horror nm0580729 nm0759535 nm0218723 nm0058169 nm0304168 nm0924808
tt0101428,La Belle Noiseuse,7.039809028565062,drama nm0729626 nm0681566 nm0000945 nm0000322 nm0219099 nm0123395
tt0101452,Bill & Ted's Bogus Journey,6.292838842518128,adventure comedy fantasy nm0382072 nm0000206 nm0935664 nm0006669 nm0000722
tt0101453,Billy Bathgate,5.977954142494561,crime drama thriller nm0000914 nm0000163 nm0000173 nm0000363 nm0000246 nm0384696
tt0101458,Bis ans Ende der Welt,6.6093806857925665,action drama sci-fi nm0000694 nm0000458 nm0231652 nm0265989 nm0878090 nm0650849
tt0101465,Black Robe,6.735596670037767,adventure drama war nm0000915 nm0089937 nm0949237 nm0002142 nm0770763 nm0001987
tt0101492,Body Parts,5.937766780996456,horror sci-fi thriller nm0714599 nm0001194 nm0242026 nm0001126 nm0596310 nm0000374
tt0101507,Boyz n the Hood,7.749206009028496,crime drama nm0005436 nm0000421 nm0000401 nm0015677 nm0042998 nm0000291
tt0101516,Bugsy,6.713463118498083,biography crime drama nm0001469 nm0000886 nm0000906 nm0000172 nm0001426 nm0001285
tt0101523,The Butcher's Wife,5.680651457158956,comedy fantasy romance nm0400958 nm0000193 nm0001099 nm0001169 nm0005460 nm0000531
tt0101531,Cadence,6.3544105018649555,drama nm0000640 nm0000221 nm0000640 nm0106319 nm0164273 nm0564245
tt0101540,Cape Fear,7.274689280701863,crime thriller nm0000217 nm0000134 nm0000560 nm0001448 nm0000496 nm0000833
tt0101545,Career Opportunities,5.88397798246348,comedy romance nm0330057 nm0001844 nm0000124 nm0000551 nm0612487 nm0413698
tt0101587,City Slickers,6.7542433046952635,comedy western nm0881038 nm0000345 nm0001588 nm0827663 nm0456124 nm0923210
tt0101590,Class Action,6.316175528316829,drama thriller nm0000776 nm0000432 nm0001512 nm0295506 nm0581008 nm0000401
tt0101605,The Commitments,7.437631170721161,comedy drama music nm0000570 nm0035087 nm0013932 nm0050337 nm0448204 nm0278194
tt0101615,Cool as Ice,3.960138100990583,comedy drama music nm0446109 nm0406678 nm0591703 nm0001984 nm0195970 nm0382895
tt0101616,Coolie No. 1,6.402442991665902,action comedy romance nm0223522 nm0332871 nm0006433 nm0363055 nm0437146 nm0434318
tt0101625,Once Upon a Crime...,5.98247981907843,comedy crime mystery nm0506405 nm0001006 nm0000902 nm0001732 nm0000707 nm0507659
tt0101627,Critters 3,4.886866941395839,comedy horror sci-fi nm0677253 nm0130890 nm0111846 nm0184085 nm0184102 nm0402669
tt0101628,Critters 4,4.879181615841849,horror sci-fi nm0367703 nm0649210 nm0542994 nm0926510 nm0396992
tt0101635,Curly Sue,5.948977667293626,comedy drama family nm0000455 nm0000902 nm0001488 nm0692018 nm0315288 nm0000669
tt0101640,Da hong denglong gaogao gua,7.861793718577902,drama romance nm0955443 nm0000084 nm0530864 nm0372078 nm0134862 nm0702629
tt0101649,Thalapathi,7.863402795523261,action crime drama nm0711745 nm0707425 nm0007123 nm0811794 nm0841552 nm0820286
tt0101669,Dead Again,6.711947286698925,crime drama mystery nm0000110 nm0000110 nm0000668 nm0000412
tt0101694,Deceived,6.129572216345917,crime drama mystery nm0364578 nm0000443 nm0001334 nm0714817 nm0440833 nm0000862
tt0101698,Defending Your Life,7.005643630354345,comedy drama fantasy nm0000983 nm0000983 nm0000658 nm0001800 nm0335519 nm0167784
tt0101700,Delicatessen,7.430420154927845,comedy crime nm0001988 nm0000466 nm0235342 nm0684500 nm0070991 nm0237835 nm0895759
tt0101701,Delirious,5.929503830895172,comedy fantasy nm0542539 nm0001006 nm0000446 nm0759924
tt0101745,Doc Hollywood,6.286394259012566,comedy drama romance nm0001994 nm0000150 nm0000689 nm0400464 nm0000437 nm0001773
tt0101746,The Doctor,6.568958738005352,drama nm0354279 nm0000458 nm0001441 nm0001610 nm0001597 nm0035060
tt0101748,Dogfight,6.926578965009539,comedy drama romance nm0001700 nm0000203 nm0000666 nm0659325 nm0163659 nm0925943
tt0101757,Don't Tell Mom the Babysitter's Dead,6.285674856840713,comedy nm0378893 nm0000775 nm0001026 nm0315288 nm0001038 nm0176861
tt0101761,The Doors,7.15087772018998,biography drama music nm0000231 nm0000174 nm0000212 nm0001492 nm0001844 nm0001143
tt0101764,Double Impact,5.65875084992682,action crime nm0504802 nm0000241 nm0507212 nm0789585 nm0263691
tt0101765,La double vie de Véronique,7.5686856578574995,drama fantasy music nm0001425 nm0001393 nm0468651 nm0344798 nm0420065
tt0101775,Drop Dead Fred,5.937945366121966,comedy drama fantasy nm0429517 nm0000121 nm0562201 nm0556850 nm0001513 nm0000402
tt0101786,Dutch,6.416565555982064,comedy drama nm0265363 nm0642145 nm0256121 nm0001851 nm0001520 nm0583487
tt0101787,Dying Young,6.039759393856714,drama romance nm0001708 nm0000210 nm0001714 nm0000352 nm0223157 nm0782978
tt0101811,Enchanted April,6.837345487043531,drama nm0001565 nm0000547 nm0687506 nm0001669 nm0908116 nm0492856
tt0101821,Ernest Scared Stupid,5.905760007452183,comedy family fantasy nm0156047 nm0001815 nm0457755 nm0619374 nm0039958 nm0608281
tt0101829,Europa,7.265417790991579,crime drama thriller nm0001885 nm0837784 nm0000852 nm0001424 nm0433495 nm0618017
tt0101846,F/X2,5.982604300036333,action thriller nm0002207 nm0000986 nm0001133 nm0001797 nm0322306 nm0097842
tt0101862,Father of the Bride,6.576301829601733,comedy family romance nm0796124 nm0000188 nm0000473 nm0001737 nm0931090 nm0001085
tt0101889,The Fisher King,7.431015015667248,comedy drama fantasy nm0000416 nm0000313 nm0000245 nm0117035 nm3051240 nm0001383
tt0101898,Flirting,6.695600404056454,drama romance nm0241090 nm0852965 nm0628601 nm0000173 nm0741261 nm0633534
tt0101902,For the Boys,6.299157790364714,comedy drama music nm0041932 nm0000541 nm0001001 nm0001719 nm0641929 nm0753068
tt0101912,Frankie and Johnny,6.633307187967286,comedy drama romance nm0005190 nm0000199 nm0000201 nm0001185 nm0001447 nm0625075
tt0101917,Freddy's Dead: The Final Nightmare,4.831768318896159,fantasy horror nm0003080 nm0000387 nm0005571 nm0338625 nm0213034 nm0517648
tt0101921,Fried Green Tomatoes,7.6141798313563624,drama nm0000816 nm0000870 nm0001788 nm0000524 nm0000571 nm0001807
tt0101962,Gojira vs. Kingu Gidorâ,6.367576524632083,action adventure drama nm0648457 nm0368057 nm0870316 nm0619953 nm0643894 nm0765789 nm0461983
tt0101969,Grand Canyon,6.656502334946751,crime drama nm0001410 nm0000418 nm0000177 nm0000188 nm0001521 nm0000571
tt0101984,Guilty by Suspicion,6.45481680586518,drama nm0005563 nm0000134 nm0000906 nm0001841 nm0923210 nm0910737
tt0101985,Guling jie shaonian sharen shijian,7.631618305113122,crime drama romance nm0945981 nm0151654 nm0946026 nm0151755 nm0157805 nm0431732
tt0101988,Guyver,5.483436085614521,action comedy horror nm0313608 nm0911036 nm0656754 nm0907858 nm0046428 nm0077720 nm0818454
tt0101991,Hachigatsu no rapusodî,6.792528009294296,drama war nm0000041 nm0613561 nm0000152 nm0407030 nm0443238 nm0652712
tt0102004,The Hard Way,6.277417110884763,action comedy crime nm0000824 nm0000150 nm0000249 nm0002332 nm0001711 nm0135306
tt0102005,Harley Davidson and the Marlboro Man,6.113944937171121,action crime drama nm0934578 nm0000620 nm0000467 nm0001210 nm0000838 nm0002064
tt0102011,"He Said, She Said",5.893298800706283,comedy drama romance nm0477129 nm0798749 nm0000102 nm0001610 nm0001447 nm0001439 nm0000232
tt0102015,Hearts of Darkness: A Filmmaker's Apocalypse,7.759516152553054,documentary nm0046943 nm0382584 nm0178880 nm0000454 nm0000640 nm0000008 nm0000184
tt0102034,Highlander II: The Quickening,4.386085521402102,action adventure fantasy nm0611683 nm0000483 nm0000125 nm0000515 nm0000461 nm0723590
tt0102048,Homicide,6.625514132719223,crime mystery thriller nm0000519 nm0001505 nm0000513 nm0345466 nm0426666 nm0908685
tt0102057,Hook,6.788805424517191,adventure comedy family nm0000229 nm0000163 nm0000245 nm0000210 nm0001364
tt0102059,Hot Shots!,6.6785027334492435,action comedy nm0000720 nm0000221 nm0000144 nm0000420
tt0102065,House Party 2,5.662022977594027,comedy drama music nm0413547 nm0570408 nm0717212 nm0552086 nm0001454 nm0101193 nm0030976
tt0102070,Hudson Hawk,5.736468123520901,action adventure comedy nm0499724 nm0000246 nm0000732 nm0000510 nm0000336 nm0001290
tt0102095,If Looks Could Kill,5.948484248873263,action comedy nm0213100 nm0001298 nm0001373 nm0715953 nm0000862 nm0000270
tt0102103,Impromptu,6.503714631876458,biography comedy music nm0487567 nm0001114 nm0000424 nm0001597 nm0001613 nm0001696
tt0102116,The Indian Runner,6.655765411447087,drama nm0000576 nm0001556 nm0001557 nm0000420 nm0000099 nm0000314
tt0102138,JFK,7.947915412418708,drama history thriller nm0000231 nm0000126 nm0000198 nm0000493 nm0000527 nm0000476
tt0102164,Johnny Stecchino,6.891043669627949,comedy crime romance nm0000905 nm0000905 nm0000971 nm0093678 nm0901763
tt0102175,Jungle Fever,6.514212872885683,drama romance nm0000490 nm0000648 nm0001711 nm0000490 nm0001115 nm0002039
tt0102178,K2,6.1904616187706285,adventure drama sport nm0734466 nm0000299 nm0002023 nm0342425 nm0830588 nm0542558
tt0102181,Kafka,6.599921307871122,drama mystery sci-fi nm0001752 nm0000460 nm0000622 nm0001297 nm0000453 nm0469103
tt0102202,Kickboxer 2: The Road Back,5.242285657225826,action sport nm0089502 nm0593711 nm0001967 nm0150862 nm0846480 nm0225963
tt0102216,King Ralph,5.57685464125642,comedy romance nm0911486 nm0000422 nm0000564 nm0000457 nm0168554 nm0341743
tt0102220,A Kiss Before Dying,5.917639869665646,crime drama mystery nm0213139 nm0000369 nm0000707 nm0094379 nm0445759
tt0102250,L.A. Story,6.6336639425201795,comedy drama fantasy nm0413875 nm0000188 nm0005481 nm0001290 nm0000572 nm0000447
tt0102266,The Last Boy Scout,6.964854215083313,action comedy crime nm0001716 nm0000246 nm0001834 nm0001210 nm0932244 nm0624510
tt0102293,Lik wong,6.79468200562137,action comedy crime nm0482670 nm0266658 nm0266652 nm0387322 nm0960013 nm3140822
tt0102303,Life Stinks,5.984775965970614,comedy nm0000316 nm0000316 nm0000690 nm0001787 nm0659573 nm0606593
tt0102307,Light Sleeper,6.648915177222194,crime drama nm0001707 nm0000353 nm0000215 nm0001127 nm0166359 nm0002148
tt0102316,Little Man Tate,6.499438151496981,drama nm0000149 nm0000149 nm0001848 nm0002123 nm0496778 nm0795740
tt0102343,Love Potion No. 9,5.817877947114519,comedy fantasy romance nm0490958 nm0004883 nm0000113 nm0544721 nm0001535 nm0808464
tt0102369,Madar,7.349725142361469,drama nm0368688 nm0154968 nm0450185 nm0267531 nm0850567
tt0102370,Madonna: Truth or Dare,6.325776004567168,documentary music nm0450194 nm0000187 nm0217752 nm0365153 nm0131104 nm0190065
tt0102388,The Man in the Moon,7.06082162469482,drama romance nm0612322 nm0001832 nm0002128 nm0834373 nm0000702 nm0518715
