tconst,originalTitle,weightedAverage,soup
tt0018217,Oktyabr,6.945401279279708,drama history nm0017893 nm0001178 nm0515104 nm3640809 nm0631634 nm0493491 nm1304457
tt0018455,Sunrise: A Song of Two Humans,7.9366547349839225,drama romance nm0003638 nm0639563 nm0310980 nm0515272 nm0743017 nm0531759
tt0018528,The Unknown,7.162558157825887,drama horror romance nm0115218 nm0151606 nm0449908 nm0001076 nm0211346 nm0313478
tt0018578,Wings,7.161553668169232,action drama romance nm0920074 nm0195496 nm0001966 nm0736777 nm0035159 nm0707814 nm0107151
tt0018737,Die Büchse der Pandora,7.3186439457186845,crime drama romance nm0655065 nm0000315 nm0466776 nm0496473 nm0324501 nm0469172
tt0018742,The Cameraman,7.49886621661766,comedy drama family nm0781292 nm0000036 nm0000036 nm0206496 nm0329467 nm0102718 nm0340807
tt0018773,The Circus,7.865893524823713,comedy family romance nm0000122 nm0000122 nm0448224 nm0305087 nm0188357 nm0204639
tt0018806,The Crowd,7.421769815410711,drama romance nm0896542 nm0090187 nm0615014 nm0729991 nm0163923 nm0866834
tt0018839,The Docks of New York,6.840645163199648,crime drama film-noir nm0903049 nm0051628 nm0173993 nm0045754 nm0176971 nm0507568
tt0019130,The Man Who Laughs,7.05587385982938,drama horror mystery nm0501902 nm0679907 nm0891998 nm0597146 nm0045754
tt0019254,La passion de Jeanne d'Arc,7.953674992965848,biography drama history nm0003433 nm0266029 nm0798564 nm0075551 nm0776914 nm0037625
tt0019421,"Steamboat Bill, Jr.",7.417104170804249,action comedy drama nm0718469 nm0000036 nm0000036 nm0570297 nm0868458 nm0507827 nm0126410
tt0019585,The Wind,7.250462403412683,drama romance thriller nm0803705 nm0001273 nm0361319 nm0002311 nm0191818 nm0247305
tt0019702,Blackmail,6.686943988966625,crime drama thriller nm0000033 nm0648565 nm0519274 nm0021329 nm0665715 nm0130740
tt0019729,The Broadway Melody,5.821440305100106,drama musical romance nm0064600 nm0522281 nm0656105 nm0454558 nm0437304 nm0065156
tt0019760,Chelovek s kino-apparatom,7.978381527195047,documentary nm0895048 nm0442227 nm0841294 nm0895048 nm0377973
tt0019777,The Cocoanuts,6.5639098714270485,comedy musical romance nm0282984 nm0763798 nm0000050 nm0555617 nm0555597 nm0555688 nm2580347
tt0020629,All Quiet on the Western Front,7.967763626537799,drama war nm0587277 nm0000817 nm0938464 nm0942046 nm0524803 nm0018273
tt0020640,Animal Crackers,7.098316853894376,comedy family musical nm0373511 nm0000050 nm0555617 nm0555597 nm2580347 nm0555688
tt0020697,Der blaue Engel,7.3424790749487645,drama music romance nm0903049 nm0417837 nm0000017 nm0314777 nm0884665 nm0002161
tt0020960,Hell's Angels,6.7881412751944294,drama war nm0400652 nm0332539 nm0001843 nm0528908 nm0355671 nm0001318 nm0201690 nm0698139
tt0021079,Little Caesar,6.938253233717438,action crime drama nm0503777 nm0000064 nm0001195 nm0268225 nm0171873
tt0021156,Morocco,6.670274266136041,drama romance nm0903049 nm0000011 nm0000017 nm0579663 nm0369443 nm0816123
tt0021165,Murder!,6.248304343788437,crime mystery thriller nm0000033 nm0003339 nm0054689 nm0042496 nm0152361 nm0541766
tt0021331,Le sang d'un poète,6.8460211940436855,fantasy nm0168413 nm0729463 nm0998525 nm0142120 nm0847851 nm0220945
tt0021571,Zemlya,6.75148792187136,drama nm0235590 nm0794548 nm0840935 nm0813216 nm0538791 nm0618858
tt0021577,L'âge d'or,6.941832292886043,comedy drama nm0000320 nm0595321 nm0529227 nm0479475 nm0259722
tt0021746,Cimarron,5.957710116622716,drama western nm0749484 nm0228715 nm0002050 nm0852347 nm0642042 nm0171873
tt0021749,City Lights,8.442258986568127,comedy drama romance nm0000122 nm0000122 nm0156039 nm5681967 nm0616729 nm0305087
tt0021814,Dracula,7.303944442550151,drama fantasy horror nm0115218 nm0005713 nm0000509 nm0151377 nm0543115 nm0296859 nm0888000
tt0021815,Drácula,6.592655275352114,drama fantasy horror nm0577654 nm0898107 nm0869830 nm0636161 nm0959363 nm0037060
tt0021884,Frankenstein,7.704254588285285,drama horror sci-fi nm0001843 nm0166972 nm0164883 nm0000472 nm0092900 nm0888000
tt0022100,M - Eine Stadt sucht einen Mörder,8.238829874640375,crime mystery thriller nm0000485 nm0000048 nm0927145 nm0484737 nm0921532 nm0519765
tt0022158,Monkey Business,7.0828627683262555,comedy family musical nm0572851 nm0000050 nm0555617 nm2580347 nm0555597 nm0555688
tt0022286,The Public Enemy,7.346124936241027,crime drama nm0920074 nm0000010 nm0001318 nm0940589 nm0000951 nm0007219
tt0022458,Tabu: A Story of the South Seas,6.863029954587699,adventure drama romance nm0003638 nm0156617 nm0558038 nm0386979 nm0051447 nm1408518
tt0022698,Blonde Venus,6.665575817512795,drama nm0903049 nm0000017 nm0000026 nm0003339 nm0601129 nm0604674
tt0022718,Boudu sauvé des eaux,6.7435252219384845,comedy nm0719756 nm0800302 nm0354325 nm0503495 nm0311790 nm0197589
tt0022835,Dr. Jekyll and Mr. Hyde,7.258183199457659,horror sci-fi nm0541149 nm0545298 nm0394244 nm0387556 nm0378555
tt0022879,A Farewell to Arms,6.305578742830076,drama romance war nm0097648 nm0000011 nm0371040 nm0579663 nm0680102 nm0479011
tt0022913,Freaks,7.654119847817332,drama horror nm0115218 nm0285922 nm0404885 nm0045754 nm0040374 nm0896109
tt0022958,Grand Hotel,7.083032959118804,drama romance nm0332539 nm0001256 nm0000858 nm0001076 nm0000891 nm0000859
tt0023027,Horse Feathers,7.140439855054259,comedy family musical nm0572851 nm0000050 nm0555597 nm0555617 nm2580347 nm0555688
tt0023042,I Am a Fugitive from a Chain Gang,7.679758007441554,crime drama film-noir nm0503777 nm0612847 nm0268225 nm0899091 nm0290271 nm0288003
tt0023238,The Most Dangerous Game,6.857287956085824,action adventure horror nm0681635 nm0774325 nm0566948 nm0942039 nm0052203 nm0035877 nm0425903
tt0023245,The Mummy,6.882917355310252,fantasy horror nm0005713 nm0000472 nm0423685 nm0543115 nm0126365 nm0888000
tt0023249,Murders in the Rue Morgue,6.2399292949545515,crime horror mystery nm0282984 nm0000509 nm0289253 nm0000748 nm0729991 nm0164664
tt0023285,Number Seventeen,5.9282706841019515,crime mystery thriller nm0000033 nm0513325 nm0340514 nm0835738 nm0130740 nm0427543
tt0023293,The Old Dark House,6.772712798846537,adventure comedy drama nm0001843 nm0000472 nm0002048 nm0001452 nm0001784 nm0093988
tt0023427,Scarface,7.484463586301106,action crime drama nm0001328 nm0744514 nm0612847 nm0245304 nm0605904 nm0674019 nm0330059
tt0023458,Shanghai Express,6.933929102047087,adventure drama film-noir nm0903049 nm0000017 nm0111612 nm0938923 nm0645941 nm0657874
tt0023551,Tarzan the Ape Man,6.626469082794469,action adventure romance nm0886754 nm0919321 nm0358076 nm0807580 nm0001577 nm0515967
tt0023563,Das Testament des Dr. Mabuse,7.436790356558891,crime mystery thriller nm0000485 nm0459030 nm0921532 nm0099786 nm0226158 nm0771869
tt0023622,Trouble in Paradise,7.493689546503913,comedy crime romance nm0523932 nm0394244 nm0290215 nm0003339 nm0749476 nm0002143
tt0023634,Otona no miru ehon - Umarete wa mita keredo,7.131824392681508,comedy drama nm0654868 nm0756870 nm0031832 nm0948989 nm0837424 nm0757104
tt0023649,Vampyr,7.160479861092082,fantasy horror nm0003433 nm0922170 nm0776914 nm0541675 nm0773525 nm0383188
tt0023694,White Zombie,6.193001752937802,horror nm0356931 nm0000509 nm0068705 nm0147248 nm0292537 nm0366002
tt0023775,Baby Face,6.997713065566574,drama romance nm0337586 nm0001766 nm0107575 nm0007219 nm0262080 nm0464137
tt0023876,Cavalcade,5.97134044875441,drama romance war nm0515979 nm0944087 nm0111612 nm0640547 nm0612743 nm0580240
tt0023940,Design for Living,6.920865910442463,comedy mystery romance nm0523932 nm0545298 nm0000011 nm0394244 nm0002143 nm0659427
tt0023948,Dinner at Eight,7.028091734734218,drama nm0002030 nm0237597 nm0000858 nm0000891 nm0001318 nm0000859
tt0023969,Duck Soup,7.587599046864934,comedy musical nm0564970 nm0000050 nm0555617 nm0555597 nm0555688 nm2580347
tt0024028,Footlight Parade,6.903638955629425,comedy musical romance nm0045800 nm0000010 nm0000951 nm0444528 nm0694090 nm0570451
tt0024034,42nd Street,6.988708873951586,comedy drama musical nm0045800 nm0062828 nm0199841 nm0107575 nm0444528 nm0452128
tt0024069,Gold Diggers of 1933,7.161798630067021,comedy drama musical nm0503777 nm0929925 nm0000951 nm0533956 nm0444528 nm0694090
tt0024184,The Invisible Man,7.441803543607088,horror sci-fi nm0001843 nm0001647 nm0001784 nm0364203 nm0871287 nm0640547
tt0024188,Island of Lost Souls,7.015596669979165,film-noir horror sci-fi nm0448915 nm0001452 nm0000509 nm0035159 nm0404885 nm0121753
