tconst,originalTitle,weightedAverageScales,soup
tt0018455,Sunrise: A Song of Two Humans,0.8538987961158193,drama romance nm0003638 nm0639563 nm0310980 nm0515272 nm0743017 nm0531759
tt0018528,The Unknown,0.7706143195467422,drama horror romance nm0115218 nm0151606 nm0449908 nm0001076 nm0211346 nm0313478
tt0018578,Wings,0.7705062472496385,action drama romance nm0920074 nm0195496 nm0001966 nm0736777 nm0035159 nm0707814 nm0107151
tt0018737,Die Büchse der Pandora,0.7874074736932819,crime drama romance nm0655065 nm0000315 nm0466776 nm0496473 nm0324501 nm0469172
tt0018742,The Cameraman,0.8067974541438055,comedy drama family nm0781292 nm0000036 nm0000036 nm0206496 nm0329467 nm0102718 nm0340807
tt0018773,The Circus,0.8462856500000933,comedy family romance nm0000122 nm0000122 nm0448224 nm0305087 nm0188357 nm0204639
tt0018806,The Crowd,0.798502709522335,drama romance nm0896542 nm0090187 nm0615014 nm0729991 nm0163923 nm0866834
tt0018839,The Docks of New York,0.7359799392260591,crime drama film-noir nm0903049 nm0051628 nm0173993 nm0045754 nm0176971 nm0507568
tt0019130,The Man Who Laughs,0.7591362350557879,drama horror mystery nm0501902 nm0679907 nm0891998 nm0597146 nm0045754
tt0019254,La passion de Jeanne d'Arc,0.8557299930477311,biography drama history nm0003433 nm0266029 nm0798564 nm0075551 nm0776914 nm0037625
tt0019421,"Steamboat Bill, Jr.",0.7980007362797545,action comedy drama nm0718469 nm0000036 nm0000036 nm0570297 nm0868458 nm0507827 nm0126410
tt0019585,The Wind,0.7800718721285841,drama romance thriller nm0803705 nm0001273 nm0361319 nm0002311 nm0191818 nm0247305
tt0019702,Blackmail,0.7194433438944453,crime drama thriller nm0000033 nm0648565 nm0519274 nm0021329 nm0665715 nm0130740
tt0019729,The Broadway Melody,0.6263244445136062,drama musical romance nm0064600 nm0522281 nm0656105 nm0454558 nm0437304 nm0065156
tt0019760,Chelovek s kino-apparatom,0.8583881507399784,documentary nm0895048 nm0442227 nm0841294 nm0895048 nm0377973
tt0019777,The Cocoanuts,0.706206194445934,comedy musical romance nm0282984 nm0763798 nm0000050 nm0555617 nm0555597 nm0555688 nm2580347
tt0020629,All Quiet on the Western Front,0.8572457786838352,drama war nm0587277 nm0000817 nm0938464 nm0942046 nm0524803 nm0018273
